District ,Block,Status,Arima Prediction,Expected
Ramanagara,KANAKAPURA,Over-exploited,Upward Trend,Critical
Ramanagara,RANMANAGARA,Over-exploited,Downward Trend,Over-exploited
Ramanagara,CHANNAPATANA,Semi-critical,Downward Trend,Critical
SHIMOGA,BHADRAVATI,Safe,Upward Trend,Safe
SHIMOGA,TIRTHAHALLI,Safe,Upward Trend,Safe
SHIMOGA,HOSANAGARA,Safe,Downward Trend,Semi-critical
SHIMOGA,SHIMOGA,Safe,Downward Trend,Semi-critical
SHIMOGA,SAGAR,Safe,Upward Trend,Safe
SHIMOGA,SHIKARIPUR,Safe,Downward Trend,Semi-critical
SHIMOGA,SORAB,Safe,Upward Trend,Safe
TUMKUR,SIRA,Critical,Upward Trend,Semi-critical
TUMKUR,MADHUGIRI,Over-exploited,Downward Trend,Over-exploited
TUMKUR,CHICKNAYAKANHALLI,Over-exploited,Downward Trend,Over-exploited
TUMKUR,TUMKUR,Over-exploited,Downward Trend,Over-exploited
TUMKUR,TIPTUR,,Upward Trend,Critical
TUMKUR,KORATAGERE,Over-exploited,Upward Trend,Critical
TUMKUR,GUBBI,Safe,Downward Trend,Semi-critical
TUMKUR,TURUVEKERE,Safe,Downward Trend,Semi-critical
TUMKUR,KUNIGAL,Safe,Upward Trend,Safe
TUMKUR,PAVAGADA,Semi-critical,Downward Trend,Critical
Udupi,KARKAL,Safe,Upward Trend,Safe
Udupi,UDUPI,Safe,Upward Trend,Safe
Udupi,KUNDAPURA,Safe,Upward Trend,Safe
Uttar kannada,SUPA,Safe,Upward Trend,Safe
Uttar kannada,MUNDOG,Safe,Downward Trend,Semi-critical
Uttar kannada,SIRSI,Safe,Upward Trend,Safe
Uttar kannada,SIDDAPUR,Safe,Upward Trend,Safe
Uttar kannada,BHATKAL,Safe,Downward Trend,Semi-critical
Uttar kannada,KUMTA,Safe,Upward Trend,Safe
Uttar kannada,HONAVAR,Safe,Upward Trend,Safe
Uttar kannada,YELLAPUR,Safe,Upward Trend,Safe
Uttar kannada,KARVAR,Safe,Upward Trend,Safe
Uttar kannada,ANKOLA,Safe,Upward Trend,Safe
Uttar kannada,HALIYAL,Semi-critical,Upward Trend,Safe
BIJAPUR,INDI,Critical,Downward Trend,Over-exploited
BIJAPUR,SINDGI,Safe,Downward Trend,Semi-critical
BIJAPUR,BIJAPUR,Safe,Downward Trend,Semi-critical
BIJAPUR,MUDDEBIHAL,Semi-critical,Downward Trend,Critical
BIJAPUR,BASAVANA BAGEVADI,Semi-critical,Downward Trend,Critical
Yadgir,SHAHPUR,Safe,Upward Trend,Safe
Yadgir,SHORAPUR,Safe,Downward Trend,Semi-critical
Yadgir,YADGIR,Semi-critical,Upward Trend,Safe
