District ,Block,Status,Arima Prediction,Expected
ALAPPUZHA,MAVELIKARA ,Safe,Upward trend,Safe
KOZHIKODE,MELADY ,Safe,Upward trend,Safe
KOLLAM,MUKHATHALA ,Safe,Upward trend,Safe
ERNAKULAM,MULLAMTHURUTHY ,Semi-critical,Upward trend,Safe
ALAPPUZHA,MUTHUKULAM ,Safe,Upward trend,Safe
ERNAKULAM,MUVATTUPUZHA ,Safe,Upward trend,Safe
PALAKKAD,NANMARA ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,NEDUMANGADU ,Semi-critical,Upward trend,Safe
IDUKKI,NEDUMKANDAM ,Semi-critical,Upward trend,Safe
THIRUVANANTHAPURAM,NEMOM ,Safe,Upward trend,Safe
MALAPPURAM,NILAMBUR ,Safe,Upward trend,Safe
KASARGOD,NILESHWAR ,Safe,Upward trend,Safe
KOLLAM,OACHIRA ,Safe,Upward trend,Safe
THRISSUR,OLLUKKARA ,Safe,Upward trend,Safe
PALAKKAD,OTTAPALAM ,Safe,Upward trend,Safe
PALAKKAD,PALAKKAD ,Safe,Upward trend,Safe
KOTTAYAM,PALLAM ,Safe,Upward trend,Safe
ERNAKULAM,PALLURUTHY ,Safe,Upward trend,Safe
KOTTAYAM,PAMPADY ,Safe,Upward trend,Safe
ERNAKULAM,PAMPAKUDA ,Safe,Upward trend,Safe
WAYANAD,PANAMARAM ,Safe,Upward trend,Safe
PATHANAMTHITTA,PANDALAM ,Safe,Upward trend,Safe
KANNUR,PANOOR ,Safe,Upward trend,Safe
KOZHIKODE,PANTHALAYANI ,Safe,Upward trend,Safe
ERNAKULAM,PARAKADAVU ,Semi-critical,Upward trend,Safe
KASARGOD,PARAPPA ,Semi-critical,Upward trend,Safe
THIRUVANANTHAPURAM,PARASSALA ,Safe,Upward trend,Safe
ERNAKULAM,PARAVUR ,Safe,Upward trend,Safe
KOLLAM,PATHANAPURAM ,Semi-critical,Upward trend,Safe
PALAKKAD,PATTAMBI ,Safe,Downward trend,Safe
ALAPPUZHA,PATTANAKAD ,Safe,Upward trend,Safe
KANNUR,PAYYANNUR ,Semi-critical,Upward trend,Safe
THRISSUR,PAZHAYANNUR ,Safe,Upward trend,Safe
KOZHIKODE,PERAMBRA ,Safe,Upward trend,Safe
KANNUR,PERAVOOR ,Safe,Upward trend,Safe
MALAPPURAM,PERINTHALMANNA ,Safe,Upward trend,Safe
MALAPPURAM,PERUMBADAPPU ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,PERUMKADAVILA ,Safe,Upward trend,Safe
MALAPPURAM,PONANNI ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,POTHENCODE ,Safe,Upward trend,Safe
PATHANAMTHITTA,PULIKEEZH ,Safe,Upward trend,Safe
THRISSUR,PUZHAKKAL ,Semi-critical,Upward trend,Safe
PATHANAMTHITTA,RANNI ,Safe,Upward trend,Safe
KOLLAM,SASTHAMCOTTA ,Safe,Downward trend,Safe
PALAKKAD,SREEKRISHNAPURAM ,Safe,Upward trend,Safe
WAYANAD,SULTHANBATHERY ,Safe,Upward trend,Safe
THRISSUR,TALIKKULAM ,Safe,Upward trend,Safe
KANNUR,TALIPARAMBA ,Safe,Upward trend,Safe
MALAPPURAM,TANUR ,Safe,Upward trend,Safe
ALAPPUZHA,THAIKKATUSSERI ,Semi-critical,Upward trend,Safe
KANNUR,THALASSERY ,Semi-critical,Upward trend,Safe
MALAPPURAM,THIRURANGADI ,Safe,Upward trend,Safe
KOZHIKODE,THODANNUR ,Safe,Upward trend,Safe
IDUKKI,THODUPUZHA ,Semi-critical,Upward trend,Safe
PALAKKAD,THRITHALA ,Semi-critical,Upward trend,Safe
MALAPPURAM,TIRUR ,Safe,Upward trend,Safe
KOZHIKODE,TUNERI ,Semi-critical,Upward trend,Safe
KOTTAYAM,UZHAVOOR ,Safe,Upward trend,Safe
KOZHIKODE,VADAKARA ,Safe,Upward trend,Safe
ERNAKULAM,VADAVOCODE ,Safe,Upward trend,Safe
KOTTAYAM,VAIKOM ,Safe,Downward trend,Safe
THIRUVANANTHAPURAM,VAMANAPURAM ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,VARKALA ,Safe,Upward trend,Safe
ERNAKULAM,VAZHAKULAM ,Safe,Upward trend,Safe
KOTTAYAM,VAZHOOR ,Safe,Upward trend,Safe
ALAPPUZHA,VELIYANAD ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,VELLANAD ,Safe,Upward trend,Safe
THRISSUR,VELLANGALLUR ,Safe,Upward trend,Safe
MALAPPURAM,VENGARA ,Safe,Upward trend,Safe
KOLLAM,VETTIKAVALA ,Safe,Downward trend,Safe
ERNAKULAM,VYPIN ,Semi-critical,Downward trend,Safe
THRISSUR,WADAKKANCHERY ,Safe,Upward trend,Safe
MALAPPURAM,WANDOOR ,Safe,Upward trend,Safe
