DISTRICT,BLOCK,Status,Arima Prediction,Expected
TIRUCHIRAPPALLI,MUSIRI,Semi-critical,Upward Trend,Safe
THIRUVARUR,MUTHUPET,Saline,Upward Trend,NA
NAGAPPATTINAM,NAGAPATTINAM,Over-exploited,Upward Trend,Critical
DHARMAPURI,NALLAMPALLI,Over-exploited,Upward Trend,Critical
CUDDALORE,NALLUR,Critical,Upward Trend,Semi-critical
NAMAKKAL,NAMAGIRIPETTAI,Over-exploited,Downward Trend,Over-exploited
NAMAKKAL,NAMAKKAL,Over-exploited,Upward Trend,Critical
ERODE,NAMBIYUR,Over-exploited,Downward Trend,Over-exploited
TIRUNELVELI,NANGUNERI,Safe,Upward Trend,Safe
THIRUVARUR,NANNILAM,Semi-critical,Upward Trend,Safe
DINDIGUL,NATHAM,Over-exploited,Upward Trend,Critical
VELLORE,NATRAMPALLI,Over-exploited,Upward Trend,Critical
THIRUVARUR,NEEDAMANGALAM,,Upward Trend,
VELLORE,NEMILI,Over-exploited,Upward Trend,Critical
DINDIGUL,NILAKKOTTAI,,Upward Trend,
DINDIGUL,ODDANCHATRAM,,Upward Trend,
VILUPPURAM,OLAKKUR,Critical,Upward Trend,Semi-critical
SALEM,OMALUR,Over-exploited,Upward Trend,Critical
THANJAVUR,ORATHANADU,,Upward Trend,
THOOTHUKKUDI,OTTAPIDARAM,Safe,Upward Trend,Safe
DHARMAPURI,PALAKKODU,,Upward Trend,
DINDIGUL,PALANI,Safe,Upward Trend,Safe
TIRUNELVELI,PALAYAMKOTTAI,Safe,Upward Trend,Safe
TIRUPPUR,PALLADAM,Over-exploited,Upward Trend,Critical
THIRUVALLUR,PALLIPATTU,Semi-critical,Upward Trend,Safe
SALEM,PANAIMARATHUPATTI,,Upward Trend,
CUDDALORE,PANRUTI,Semi-critical,Upward Trend,Safe
THE NILGIRIS,PANTHALUR,,Upward Trend,
THANJAVUR,PAPANASAM,Over-exploited,Upward Trend,Critical
TIRUNELVELI,PAPPAKUDI,Safe,Upward Trend,Safe
RAMANATHAPURAM,PARAMAKUDI,Safe,Upward Trend,Safe
NAMAKKAL,PARAMATHI-VELUR,Over-exploited,Upward Trend,Critical
THANJAVUR,PATTUKKOTTAI,Critical,Upward Trend,Semi-critical
DHARMAPURI,PENNAGARAM,Over-exploited,Downward Trend,Over-exploited
PERAMBALUR,PERAMBALUR,Over-exploited,Downward Trend,Over-exploited
TIRUVANNAMALAI,PERANAMALLUR,Over-exploited,Downward Trend,Over-exploited
THENI,PERIYAKULAM,,Upward Trend,
COIMBATORE,PERIYANAICKENPALAYAM,Semi-critical,Upward Trend,Safe
VELLORE,PERNAMPATTU,Over-exploited,Upward Trend,Critical
ERODE,PERUNDURAI,Over-exploited,Upward Trend,Critical
SALEM,PETHANAICKENPALAYAM,,Downward Trend,
COIMBATORE,POLLACHI,Over-exploited,Downward Trend,Over-exploited
COIMBATORE,POLLACHI NORTH,Over-exploited,Downward Trend,Over-exploited
TIRUVANNAMALAI,POLUR,Over-exploited,Downward Trend,Over-exploited
TIRUPPUR,PONGALUR,Over-exploited,Downward Trend,Over-exploited
PUDUKKOTTAI,PONNAMARAVATHI,,Upward Trend,
THIRUVALLUR,PONNERI,Safe,Upward Trend,Safe
KANCHEEPURAM,POONAMALLEE,Over-exploited,Upward Trend,Critical
NAMAKKAL,PUDUCHATRAM,Over-exploited,Upward Trend,Critical
PUDUKKOTTAI,PUDUKKOTTAI,Safe,Upward Trend,Safe
THOOTHUKKUDI,PUDUR,Safe,Upward Trend,Safe
TIRUCHIRAPPALLI,PULLAMPADI,,Upward Trend,
THIRUVALLUR,PUZHAL,Safe,Upward Trend,Safe
RAMANATHAPURAM,R.S. MANGALAM,,Upward Trend,
TIRUNELVELI,RADHAPURAM,Critical,Downward Trend,Over-exploited
KANNIYAKUMARI,RAJAKKAMANGALAM,Semi-critical,Upward Trend,Safe
VIRUDUNAGAR,RAJAPALAYAM,Over-exploited,Downward Trend,Over-exploited
NAMAKKAL,RASIPURAM,Over-exploited,Downward Trend,Over-exploited
DINDIGUL,REDDIYARCHATTIRAM,,Downward Trend,
SALEM,SALEM,Over-exploited,Downward Trend,Over-exploited
TIRUNELVELI,SANKARANKOIL,Over-exploited,Downward Trend,Over-exploited
TIRUNELVELI,SANKARANKOIL_1109,,Upward Trend,
VILUPPURAM,SANKARAPURAM,Safe,Downward Trend,Semi-critical
SALEM,SANKARI,Over-exploited,Downward Trend,Over-exploited
COIMBATORE,SARCARSAMAKULAM,,Downward Trend,
THOOTHUKKUDI,SATHANKULAM,,Upward Trend,
ERODE,SATHYAMANGALAM,Critical,Upward Trend,Semi-critical
VIRUDUNAGAR,SATTUR,Safe,Upward Trend,Safe
MADURAI,SEDAPATTI,Over-exploited,Downward Trend,Over-exploited
NAGAPPATTINAM,SEMBANARKOIL,Over-exploited,Downward Trend,Over-exploited
ARIYALUR,SENDURAI,Semi-critical,Upward Trend,Safe
NAMAKKAL,SENTHAMANGALAM,,Upward Trend,
THANJAVUR,SETHUBHAVACHATRAM,,Upward Trend,
DINDIGUL,SHANARPATTI,Over-exploited,Downward Trend,Over-exploited
TIRUNELVELI,SHENKOTTAI,,Upward Trend,
THIRUVALLUR,SHOLAVARAM,Safe,Upward Trend,Safe
VELLORE,SHOLINGUR,,Upward Trend,
KRISHNAGIRI,SHOOLAGIRI,Safe,Downward Trend,Semi-critical
SIVAGANGA,SINGAMPUNERI,,Upward Trend,
NAGAPPATTINAM,SIRKALI,Over-exploited,Upward Trend,Critical
SIVAGANGA,SIVAGANGA,Safe,Upward Trend,Safe
VIRUDUNAGAR,SIVAKASI,,Upward Trend,
KANCHEEPURAM,SRIPERUMBUDUR,,Upward Trend,
TIRUCHIRAPPALLI,SRIRANGAM,Safe,Upward Trend,Safe
THOOTHUKKUDI,SRIVAIKUNTAM,,Upward Trend,
VIRUDUNAGAR,SRIVILLIPUTHUR,,Upward Trend,
KANCHEEPURAM,ST. THOMAS MOUNT,,Upward Trend,
COIMBATORE,SULTANPET,,Upward Trend,
COIMBATORE,SULUR,Over-exploited,Upward Trend,Critical
MADURAI,T. KALLUPATTI,,Downward Trend,
ERODE,TALAVADI,,Upward Trend,
SALEM,TALAVASAL,,Upward Trend,
KANCHEEPURAM,TAMBARAM,Safe,Upward Trend,Safe
TIRUNELVELI,TENKASI,Safe,Downward Trend,Semi-critical
KANNIYAKUMARI,THACKALAI,,Upward Trend,
KRISHNAGIRI,THALY,,Upward Trend,
TIRUVANNAMALAI,THANDARAMPET,,Downward Trend,
THANJAVUR,THANJAVUR,Semi-critical,Downward Trend,Critical
KARUR,THANTHONI,,Upward Trend,
SALEM,THARAMANGALAM,Over-exploited,Upward Trend,Critical
NAGAPPATTINAM,THARANGAMBADI,,Upward Trend,
TIRUCHIRAPPALLI,THATHAIYANGARPET,,Downward Trend,
TIRUVANNAMALAI,THELLAR,Critical,Upward Trend,Semi-critical
THENI,THENI,Semi-critical,Downward Trend,Critical
VILUPPURAM,THIAGADURGAM,,Downward Trend,
MADURAI,THIRUMANGALAM,Critical,Downward Trend,Over-exploited
ARIYALUR,THIRUMANUR,,Downward Trend,
PUDUKKOTTAI,THIRUMAYAM,Safe,Downward Trend,Semi-critical
MADURAI,THIRUPARANKUNDRAM,,Downward Trend,
KANCHEEPURAM,THIRUPORUR,Safe,Upward Trend,Safe
THANJAVUR,THIRUPPANANDAL,,Upward Trend,
THANJAVUR,THIRUVAIYARU,Over-exploited,Upward Trend,Critical
THIRUVALLUR,THIRUVALLUR,Safe,Upward Trend,Safe
THIRUVARUR,THIRUVARUR,Safe,Upward Trend,Safe
THANJAVUR,THIRUVONAM,,Upward Trend,
KARUR,THOGAIMALAI,Over-exploited,Upward Trend,Critical
COIMBATORE,THONDAMUTHUR,Over-exploited,Upward Trend,Critical
ERODE,THOOKANAICKENPALAYAM,,Downward Trend,
THOOTHUKKUDI,THOOTHUKKUDI,,Upward Trend,
DINDIGUL,THOPPAMPATTI,Over-exploited,Upward Trend,Critical
TIRUCHIRAPPALLI,THOTTIYAM,Critical,Upward Trend,Semi-critical
KANNIYAKUMARI,THOVALA,Safe,Upward Trend,Safe
TIRUVANNAMALAI,THURINJAPURAM,Over-exploited,Upward Trend,Critical
VELLORE,TIMIRI,Over-exploited,Upward Trend,Critical
THOOTHUKKUDI,TIRUCHENDUR,Safe,Upward Trend,Safe
NAMAKKAL,TIRUCHENGODE,Over-exploited,Downward Trend,Over-exploited
TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,,Upward Trend,
VIRUDUNAGAR,TIRUCHULI,,Upward Trend,
KANCHEEPURAM,TIRUKALUKUNDRAM,,Upward Trend,
VILUPPURAM,TIRUKKOYILUR,,Downward Trend,
VILUPPURAM,TIRUNAVALUR,,Downward Trend,
TIRUNELVELI,TIRUNELVELI,Safe,Upward Trend,Safe
SIVAGANGA,TIRUPATHUR,,Upward Trend,
RAMANATHAPURAM,TIRUPULLANI,,Upward Trend,
THIRUVALLUR,TIRUTTANI,Critical,Downward Trend,Over-exploited
RAMANATHAPURAM,TIRUVADANAI,Critical,Upward Trend,Semi-critical
TIRUVANNAMALAI,TIRUVANNAMALAI,Over-exploited,Upward Trend,Critical
PUDUKKOTTAI,TIRUVARANKULAM,Over-exploited,Upward Trend,Critical
THIRUVALLUR,TIRUVELANGADU,Over-exploited,Upward Trend,Critical
CUDDALORE,TITTAKUDI_99,Over-exploited,Upward Trend,Critical
THOOTHUKKUDI,UDANGUDI,Over-exploited,Upward Trend,Critical
THE NILGIRIS,UDHAGAMANDALAM,Over-exploited,Upward Trend,Critical
TIRUPPUR,UDUMALAIPETTAI,Critical,Downward Trend,Over-exploited
VILUPPURAM,ULUDURPETTAI,Critical,Upward Trend,Semi-critical
VILUPPURAM,ULUNDURPETTAI,Critical,Upward Trend,Semi-critical
TIRUCHIRAPPALLI,UPPILIYAPURAM,Over-exploited,Upward Trend,Critical
MADURAI,USILAMPATTI,Over-exploited,Downward Trend,Over-exploited
THENI,UTHAMAPALAYAM,Semi-critical,Downward Trend,Critical
KRISHNAGIRI,UTHANGARAI,Over-exploited,Upward Trend,Critical
KANCHEEPURAM,UTHIRAMERUR,Semi-critical,Downward Trend,Critical
THIRUVALLUR,UTHUKKOTTAI,Semi-critical,Upward Trend,Safe
TIRUPPUR,UTHUKULI,Over-exploited,Upward Trend,Critical
DINDIGUL,VADAMADURAI,Over-exploited,Upward Trend,Critical
MADURAI,VADIPATTI,,Downward Trend,
TIRUCHIRAPPALLI,VAIYAMPATTI,Over-exploited,Upward Trend,Critical
THIRUVARUR,VALANGAIMAN,Over-exploited,Upward Trend,Critical
VILUPPURAM,VALLAM,Safe,Upward Trend,Safe
TIRUNELVELI,VALLIYUR,,Downward Trend,
COIMBATORE,VALPARAI,Safe,Upward Trend,Safe
TIRUVANNAMALAI,VANDAVASI,Over-exploited,Upward Trend,Critical
VILUPPURAM,VANUR,Semi-critical,Downward Trend,Critical
TIRUNELVELI,VASUDEVANALLUR,Semi-critical,Upward Trend,Safe
SALEM,VAZHAPADI,,Upward Trend,
NAGAPPATTINAM,VEDARANYAM,Saline,Upward Trend,NA
DINDIGUL,VEDASANDUR,Over-exploited,Upward Trend,Critical
SALEM,VEERAPANDI,Over-exploited,Upward Trend,Critical
TIRUPPUR,VELLAKOIL,Over-exploited,Upward Trend,Critical
VELLORE,VELLORE,Over-exploited,Downward Trend,Over-exploited
TIRUVANNAMALAI,VEMBAKKAM,Semi-critical,Upward Trend,Safe
NAMAKKAL,VENNANTHUR,,Upward Trend,
KRISHNAGIRI,VEPPANAPALLI,Over-exploited,Upward Trend,Critical
PERAMBALUR,VEPPANTHATTAI,,Upward Trend,
PERAMBALUR,VEPPUR,Safe,Upward Trend,Safe
THOOTHUKKUDI,VILATHIKULAM,Safe,Upward Trend,Safe
KANNIYAKUMARI,VILAVANCODE,Semi-Critical,Upward Trend,Safe
PUDUKKOTTAI,VIRALIMALAI,Semi-Critical,Upward Trend,Safe
VILUPPURAM,VIRKRAVANDI,,Upward Trend,
CUDDALORE,VIRUDHACHALAM_102,Over-exploited,Downward Trend,Over-exploited
CUDDALORE,VIRUDHACHALAM_105,Over-exploited,Upward Trend,Critical
VIRUDUNAGAR,VIRUDHUNAGAR,Safe,Upward Trend,Safe
KANCHEEPURAM,WALAJABAD,Over-exploited,Upward Trend,Critical
VELLORE,WALAJAPET,,Upward Trend,
SALEM,YERCAUD,Safe,Upward Trend,Safe
